Method,Density,Voronoi,Moran,Local Balance,score_0_0,IB_value,SBLB_value,method
"K-Means (1, 1)",0.0337776177410869,0.0946347711149667,-0.0537503495469336,0.1987037547496892,,,,
"K-Means (1, 1)",-0.2933711195596857,0.077409459955717,-0.2084996479803287,0.5301532315059165,,,,
"K-Means (1, 1)",-0.2913202223711597,0.1939998663727913,-0.0980972265255978,0.6391966659670654,,,,
"K-Means (1, 1)",0.0294660399010473,0.1289562015237789,-0.2448868148673435,0.3281275074851658,,,,
"K-Means (1, 1)",-0.0099675843413724,0.107932452429486,-0.1404229512339495,0.2210842969781678,,,,
"K-Means (1, 1)",-0.3539828896837578,0.1694674986550318,-0.1359469333157529,0.5096723788276669,,,,
"K-Means (1, 1)",0.0805227373699466,0.1289562015237789,-0.2025023068325905,0.3610225915340455,,,,
"K-Means (1, 1)",-0.0170141805511319,0.0712326798852331,-0.1412253785312489,0.3401196331588443,,,,
"K-Means (1, 1)",0.0580210808094418,0.1145985431951459,-0.0589950704470762,0.3243250644964998,,,,
"K-Means (1, 1)",-0.3088839366253059,0.0852513984725821,-0.1434400694849526,0.4498691683045767,,,,
