Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",-0.19495903409986054,0.21730469590793655,-0.01070417612493945,0.7339531265174201
"K-Means (1, 1)",-0.14890493249654843,0.024705340212365798,-0.22675205893892655,0.41379157857195054
"K-Means (1, 1)",-0.2537233642765572,0.08681539702463517,-0.06829040706009866,0.3183125205436081
"K-Means (1, 1)",-0.3685906091145842,0.05177639778492904,-0.17474332845106522,0.36105896219028116
"K-Means (1, 1)",-0.1456524101945625,0.25868207609633614,-0.01624116590580345,0.36833749980502023
"K-Means (1, 1)",-0.38426710372266115,0.08701584624320702,-0.14811674473210767,0.37637917989499886
"K-Means (1, 1)",-0.1982294632406259,0.377292531771942,-0.09188157688039067,0.47013131806608316
"K-Means (1, 1)",-0.6732882599117693,0.12443012463304812,0.027239100005231952,0.575411486348785
"K-Means (1, 1)",-0.3157776764548636,0.07302849352083847,-0.13966012927969088,0.4575161223286077
"K-Means (1, 1)",-0.39545325491926275,0.02929580069932571,-0.07866768464957417,0.33234807578616576
