Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",-0.08559749445182023,0.14225000000000027,-0.10092745238769628,0.2692424243972519
"K-Means (1, 1)",0.1788308734414464,0.07390000000000013,-0.1900795269577146,0.26329962789830635
"K-Means (1, 1)",0.04885833484517022,0.07725000000000014,-0.4575158598207525,0.2673221159297336
"K-Means (1, 1)",-0.09291575643131358,0.1654500000000003,-0.0963816709980809,0.3172135626440193
"K-Means (1, 1)",-0.5516661662194573,0.40340000000000076,-0.10100896596373043,0.630835183244312
"K-Means (1, 1)",0.13030320820612426,0.07725000000000014,-0.20759560197381985,0.32044018618768366
"K-Means (1, 1)",0.04300066271662399,0.07225000000000012,-0.11619911361963645,0.31384805612342115
"K-Means (1, 1)",0.18543115798437393,0.07725000000000014,-0.382173010609117,0.28021267048343107
"K-Means (1, 1)",0.2024273207666623,0.07725000000000014,-0.17959955798405414,0.277522036976446
"K-Means (1, 1)",-0.3562423405980692,0.32495000000000057,-0.043674492896238155,0.5337629960345764
"K-Means (1, 1)",0.17069733364484926,0.07570000000000013,-0.32788089635735795,0.22448577756161267
"K-Means (1, 1)",0.19382461559308967,0.06565000000000011,-0.19946966861915125,0.23679457867928894
"K-Means (1, 1)",-0.09881274022451537,0.18190000000000034,-0.08046742493087874,0.33379734237523606
"K-Means (1, 1)",-0.13643863904881381,0.2337500000000004,-0.08221826917588908,0.42944049194860506
"K-Means (1, 1)",0.13059706969233123,0.07570000000000013,-0.14761627768520647,0.21438466524655683
"K-Means (1, 1)",-0.10280571180156553,0.1738500000000003,-0.08461872393711253,0.3231673281250672
"K-Means (1, 1)",0.08718110168936488,0.07570000000000013,-0.2092153048202694,0.2599729195614633
"K-Means (1, 1)",-0.46078694218420013,0.4433500000000008,-0.07829150311946716,0.5814444567379979
"K-Means (1, 1)",0.0912907972328989,0.07715000000000014,-0.2640584753481326,0.293128286877017
"K-Means (1, 1)",-0.021395146652915753,0.07570000000000013,-0.6628261239550425,0.25065458514947986
"K-Means (1, 1)",0.0971836296957064,0.17975000000000033,-0.07895573802112513,0.34112655152802
"K-Means (1, 1)",-0.05599547528376923,0.07815000000000014,-0.3405686422131876,0.26811636160583174
"K-Means (1, 1)",0.041170530652205904,0.07225000000000012,-0.11619911361963645,0.31384805612342115
"K-Means (1, 1)",0.2437675852011288,0.07470000000000013,-0.16676071862007677,0.2519113692256401
"K-Means (1, 1)",0.22625484250678218,0.07725000000000014,-0.3278808963573601,0.2647216792920612
"K-Means (1, 1)",-0.02584406335499708,0.07570000000000013,-0.04292950242612388,0.30894544266573165
"K-Means (1, 1)",-0.016636081726089387,0.08415000000000014,-0.29600328573562035,0.2147172199125842
"K-Means (1, 1)",0.12060546687314606,0.1165000000000002,-0.0763151742709518,0.264598281211415
"K-Means (1, 1)",-0.5280379707110058,0.4083500000000007,-0.09739503597544931,0.6227311617129134
"K-Means (1, 1)",0.12402638510244995,0.12435000000000021,-0.0752448954688681,0.2959970421595919
"K-Means (1, 1)",0.09272484003614265,0.07410000000000012,-0.4629966317723504,0.25061792667111654
"K-Means (1, 1)",0.0912907972328989,0.07715000000000014,-0.2640584753481326,0.293128286877017
"K-Means (1, 1)",-0.2582404010755326,0.2252500000000004,-0.1258352200763514,0.3983010699121889
"K-Means (1, 1)",-0.2630482152286171,0.2252500000000004,-0.1258352200763514,0.3983010699121889
"K-Means (1, 1)",-0.40615456206165346,0.4776500000000007,-0.08162601044629209,0.7059535386227124
"K-Means (1, 1)",0.02970222967103795,0.06615000000000011,-0.20584404204273596,0.23678830892259825
"K-Means (1, 1)",0.13106338351071786,0.07570000000000013,-0.15829386472066306,0.2340078206656726
"K-Means (1, 1)",0.06699815210853399,0.07745000000000014,-0.705327893384291,0.2504001272529777
"K-Means (1, 1)",-0.08673039614699174,0.14225000000000027,-0.10092745238769628,0.2692424243972519
"K-Means (1, 1)",0.03847558741693579,0.07225000000000012,-0.11619911361963645,0.31384805612342115
"K-Means (1, 1)",0.15304423453865584,0.07890000000000014,-0.03424824044926702,0.4027076124491081
"K-Means (1, 1)",0.12402638510244995,0.12435000000000021,-0.0752448954688681,0.2959970421595919
"K-Means (1, 1)",0.050675195457267,0.07715000000000014,-0.26105424254151305,0.3055100891986557
"K-Means (1, 1)",0.03149599994372218,0.06615000000000011,-0.20584404204273596,0.23678830892259825
"K-Means (1, 1)",-0.14954883389586707,0.3044500000000005,-0.08409479002620075,0.4647545625907051
"K-Means (1, 1)",0.14613456949803408,0.07410000000000012,-0.20992631265814204,0.24542921446817956
"K-Means (1, 1)",-0.02584406335499708,0.07570000000000013,-0.04292950242612388,0.30894544266573165
"K-Means (1, 1)",0.09797264551047577,0.07570000000000013,-0.12790512957772607,0.2507603830819745
"K-Means (1, 1)",0.19983134670692873,0.07515000000000013,-0.19961860851932484,0.3234817819883524
"K-Means (1, 1)",0.132155958506602,0.07390000000000013,-0.21271339979527484,0.2795326187981054
"K-Means (1, 1)",0.0855705636739402,0.15885000000000027,-0.07010654226874731,0.35066683220116196
"K-Means (1, 1)",0.1305724892018765,0.07390000000000013,-0.21271339979527484,0.2795326187981054
"K-Means (1, 1)",0.03814439399298784,0.07745000000000014,-0.1122950498253289,0.36512637103743023
"K-Means (1, 1)",-0.0369835518142299,0.07710000000000014,-0.6279729326221749,0.26410826807314125
"K-Means (1, 1)",0.09796899375511864,0.08915000000000015,-0.22982465564013896,0.2525603440606695
"K-Means (1, 1)",-0.05408081208747596,0.07815000000000014,-0.3405686422131876,0.26811636160583174
"K-Means (1, 1)",-0.19351060822105096,0.31025000000000047,-0.09327029442836447,0.4789346896848416
"K-Means (1, 1)",0.12652902049737214,0.07570000000000013,-0.14761627768520647,0.21438466524655683
